Distribution statistics of daily log FX changes (all currencies, weekdays only)
Daily log change = log(level_t) - log(level_{t-1})

currency         p01         p02         p05         p10         p25         p50         p75         p90         p95         p98         p99        mean        std     skewness      kurtosis  n_log_changes
     MMK -0.01590263 -0.01277041 -0.00816114 -0.00499196 -0.00091002  0.00000025  0.00103299  0.00513848  0.00853200  0.01341632  0.01648763  0.00083797 0.05566660  81.19165060 6686.98592421           6886
     MNT -0.01313489 -0.00872940 -0.00505365 -0.00274617 -0.00061112  0.00000171  0.00076460  0.00334523  0.00626953  0.01074090  0.01407347  0.00017612 0.00470367   0.14184117   65.23378439           6886
     MOP -0.01253656 -0.00954637 -0.00565652 -0.00247912 -0.00028329  0.00000974  0.00031832  0.00242613  0.00565510  0.00970256  0.01203579  0.00000193 0.00445828  -1.28649871  126.23817988           6886
     MRO -0.02753354 -0.01885631 -0.00911235 -0.00463028 -0.00044774  0.00000006  0.00055453  0.00478608  0.01009647  0.01880191  0.02696976  0.00009769 0.00832693   2.22456639   46.48571755           4814
     MRU -0.00594226 -0.00326600 -0.00145265 -0.00056676 -0.00003586  0.00000177  0.00004925  0.00078235  0.00197123  0.00454076  0.00679515  0.00005472 0.00217921  -2.79090827  100.55742446           2080
     MTL -0.01544957 -0.01291780 -0.00958300 -0.00683201 -0.00323235  0.00000000  0.00313838  0.00688771  0.00948109  0.01264305  0.01564798 -0.00002311 0.00594619  -0.11533880    3.89964513           4805
     MUR -0.02075846 -0.01672140 -0.01174793 -0.00791813 -0.00300636  0.00000065  0.00318583  0.00812896  0.01199252  0.01629387  0.02097776  0.00009027 0.00720737  -0.01221218    4.05943879           6886
     MVR -0.02617796 -0.01636401 -0.01025165 -0.00701176 -0.00150111  0.00000065  0.00161687  0.00704934  0.01026712  0.01629978  0.03304560  0.00004971 0.00912083   0.78405436   74.04261090           6886
     MWK -0.02321898 -0.01696642 -0.01040202 -0.00591213 -0.00076666  0.00000124  0.00158297  0.00679243  0.01144112  0.01896762  0.02815603  0.00052568 0.01108571  16.05904275  569.93113018           6886
     MXN -0.01739150 -0.01354651 -0.00986199 -0.00711440 -0.00360282 -0.00022878  0.00347088  0.00775727  0.01121104  0.01590232  0.01961298  0.00008888 0.00696641   0.70674015    8.69364856           6886
     MYR -0.01120263 -0.00861115 -0.00564043 -0.00362796 -0.00117302  0.00000016  0.00131870  0.00361620  0.00570818  0.00812780  0.01043273  0.00000621 0.00358672  -0.42682191    8.19711806           6886
     MZM -0.03172349 -0.02321931 -0.01405126 -0.00764278 -0.00189425  0.00000011  0.00234954  0.00870106  0.01648247  0.02543905  0.03454152  0.00039607 0.01200132   2.07459866   65.72298708           2376
     MZN -0.02909649 -0.02278144 -0.01290083 -0.00659573 -0.00034528  0.00000639  0.00091781  0.00703939  0.01445771  0.02356175  0.03321046  0.00021025 0.01064457   0.58606159   54.47483766           4605
     NAD -0.02532388 -0.01992616 -0.01506358 -0.01135270 -0.00561967 -0.00012552  0.00552196  0.01165714  0.01624673  0.02306462  0.02918235  0.00014323 0.01027151   0.52571302    7.44829639           6886
     NGN -0.02465158 -0.01674837 -0.00911746 -0.00493873 -0.00135175  0.00001165  0.00157040  0.00521916  0.00992237  0.01820860  0.02852550  0.00038046 0.01091595   9.31581862  232.00437978           6886
     NIO -0.02514256 -0.01473595 -0.00823807 -0.00497984 -0.00071630  0.00004845  0.00104372  0.00518767  0.00881635  0.01561494  0.02758034  0.00015952 0.00742300   0.12172942   30.35166589           6886
